Year,Month Name,IMPORTER_NAME,Sum of TOTAL_ASSES_USD
2023,January,APPLE INDIA PRIVATE LIMITED,$223134521.0971752
2023,January,OPPO MOBILES INDIA PRIVATE LIMITED,$209507740.9938684
2023,January,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$21841638.04303273
2023,January,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$543719078.1000609
2023,January,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1544067.1499012
2023,January,VIVO MOBILE INDIA PRIVATE LIMITED,$137769299.9127316
2023,January,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$5246096.5700462
2023,February,APPLE INDIA PRIVATE LIMITED,$69094166.28620252
2023,February,OPPO MOBILES INDIA PRIVATE LIMITED,$269102770.6228125
2023,February,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$26334375.01000472
2023,February,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$560681945.3485504
2023,February,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1488478.787507813
2023,February,VIVO MOBILE INDIA PRIVATE LIMITED,$136542405.9333203
2023,February,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$514360.150679299
2023,March,APPLE INDIA PRIVATE LIMITED,$95149146.30826628
2023,March,OPPO MOBILES INDIA PRIVATE LIMITED,$316318408.7426278
2023,March,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$30233565.31730465
2023,March,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$596589444.8407482
2023,March,SAMSUNG R AND D INSTITUTE INDIA BANGALORE PRIVATE LI,$1141367.484984217
2023,March,VIVO MOBILE INDIA PRIVATE LIMITED,$253522118.5725569
2023,March,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,$3128155.99848347
2023,April,APPLE INDIA PRIVATE LIMITED,$123515297.3485403
2023,April,OPPO MOBILES INDIA PRIVATE LIMITED,$384956791.9435603
2023,April,REALME MOBILE TELECOMMUNICATIONS INDIA PRIVATE LI,$1146189.305298
2023,April,SAMSUNG DISPLAY NOIDA PRIVATE LIMITED,$31543588.4689474
2023,April,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,$392144686.6202523
